serial_no,organization_name,nhia_hmo_id,website,address,email,phone,state_hint,source_url,extracted_at
18,FOUNTAIN HEALTHCARE LIMITED,94,https://fountainhealthcareng.com/office/,"ALL SEASON PLACE, NO 74 ISHERI- OGUNNUSI ROAD, OJUDU-OMOLE, IKEJA LAGOS",info@fountainhealthcareng.com,"O700FOUNTAIN, O8077705100, O8077705200",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
19,GNI HEALTHCARE LTD,60,http://gnihealthcare.com/,"28, AFOLABI AINA STREET, OFF AWOLOWO WAY, IKEJA LAGOS",gnihealthcare@greatnigeriaplc.com,"08057752870, 08163290105 O7043051516, O7046251142",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
20,GORAH HEALTHCARE LTD.,112,https://gorahhmo.com/,"? 322A, Ikorodu Road, Ikeja, Lagos",info@gorahhmo.com,"O8132783427, O7031870956",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
21,GREENBAY HEALTHCARE SERVICES LIMITED,43,https://greenbayhmo.com/,"9, ODUNUGA STREET, OFF OPEBI LINK ROAD,",info@greenbayhmo.com,O70047336229,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
22,GREENFIELD HEALTH MANAGEMENT LTD,78,https://www.greenfieldhmo.com/,"PLOT 14, MARKET GARDEN POCKET LAYOUT, BY ISIADINSO CLOSE, G",info@greenfieldhmo.com hodaccounts@greenfieldhmo.com ezealaelizabeth@greenfieldhmo.com,"O9091910003, O9091909993",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
23,GROOMING HEALTH MANAGEMENT LIMITED,108,http://www.groominghm.com/,"No. 3, Tina Chris Street, Ejigbo, Lagos State",info@groominghm.com,"O7080631850, O9087966270",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
24,HALLMARK HEALTH SERVICES LIMITED,96,https://hallmarkhmo.com/,"264 Ikorodu Road, Obanikoro, Lagos, Somolu Local Government Area, Lagos, Nigeria",info@hallmarkhmo.com,"08170920155, 09087792936, 08090918940",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
25,HEALTH ASSUR LIMITED,87,https://www.healthassur.com/,"NO.1 RAMAT CRESCENT OGUDU GRA, KOSOFE, LAGOS.",info@healthassur.com,"01-3422321, 08026547348, 0700 HEALTH ASSUR (07004325427787)",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
26,Health Partners Limited,35,https://healthpartnersng.org/,,hmo@healthpartnersng.org,"O8077140844, O8077140855, O8077140688",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
27,HEALTHCARE INTERNATIONAL LIMITED,4,https://www.hcihealthcare.ng/,"308A, MURITALA MOHAMMED WAY, YABA",info@healthcare-ng.com,"O8052099069 (Abuja) O8052099099 (Lagos) O14489820, O8052099094",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
28,HEALTHSPRING HMO,122,https://healthspringhmo.com/,"? 1, Julius Nyerere Crescent, Asokoro, Abuja",info@healthspringhmo.com,"07047000591, 07047000590",FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
29,HYGEIA HMO LIMITED,1,https://hygeiahmo.com/,"2ND FLOOR, BANK OF INDUSTRY BUILDING, 21/22 MARINA","hycare@hygeiahmo.com, nhisdesk@hygeiahmo.com","O70049434266, O14488300",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
30,Infinite X2 Health Maintenance Services,113,"http://Infinitex2health@gmail.com,%20info@infinitex2health.net","No. 13, Lafia Road, Adjacent Kaduna Golf Course, Kaduna State","Infinitex2health@gmail.com, info@infinitex2health.net",O7066026262,Kaduna,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
31,INTEGRATED HEALTHCARE,14,https://integratedhealthcareltd.com/,"19, JOS STREET, AREA 3 GARKI-ABUJA",info@integratedhealthcareltd.com,"O8051322662, O8146120236, O8097236759, O9020008294 SMS (and WhatsApp only: 08063206121) Lagos: 08159391310 Awka: 08159391321 Uyo: 08159391334 Kano: 08159391333: Yola: 08159391308 Jos: 08159391311 Ibadan: 08159391324 Minna: 08159391306",FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
32,INTERNATIONAL HEALTH MGT. SERVICES,11,https://ihmsnigeria.com/,"IGI HOUSE, 3 GWAMI ST, WUSE ZONE 4,",info@ihmsnigeria.com,"O8085861299, O7041446622, O7004467466",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
33,IVES MEDICARE,69,https://www.ivesmedicare.com/,"4 MOJIDI STREET, OFF TOYIN STREET",info@ivesmedicare.com,"O8032639058, O9085187582, O8092165592",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
34,KENNEDIA HMO LIMITED,109,https://kennediahmo.com/,"14B, Kingsley Emu Street, Lagos, Off Chris Onanuga, Lekki Phase 1",info@kennediahmo.com,"070030306060, 017002018, 09120351385",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
35,LEADWAY HEALTH LIMITED,90,https://leadwayhealth.com/,"121/123, FUNSHO WILLIAMS AVENUE, IPONRI, SURULERE, LAGOS.",healthcare@leadway.com,"O12801051, O8139862271",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
36,LIFE WORTH MEDICARE LTD,79,https://lifeworthhmo.com/,"13A, BISHOP COKER ROUND ABOUT, ILUPEJU, LAGOS",info@lifeworthhmo.com,O8091111760,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
37,LIFESAVER HEALTHCARE LIMITED,118,,"? 20b, Olutoye Crescent, Off Adeniyi Jones Street, Ikeja, Lagos State",mb@lifesaverhealthcarehmo.com,O9123973551,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
38,MAAYOIT HEALTH CARE LIMITED,98,https://maayoithealth.org/,"MHL BUILDING OPPOSITE GSS, OLD JEBBA ROAD, ILORIN, KWARA STATE, P.O. BOX 5504, ILORIN, KWARA STATE, ILORIN, ILORIN WEST, KWARA, Nigeria",info@mayooithealth.org,"08058026841, 08174627100",Kwara,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
39,MARINA MEDICAL SERVICES HMO LIMITED,48,https://marinamedicalhmo.ng/,"24, MONTGOMERY ROAD, YABA-LAGOS.",info@marinamedicalhmo.ng,"O8144814021, O8182318170,O8022598259",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
40,MARKFEMA NIGERIA LTD.,29,https://markfema.com/,"4A GURARA STREET, IBRAHIM ABACHA ESTATE",info@markfema.com,"O8077456035, O8034935832",Niger,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
41,MASSLIFE HEALTHCARE LIMITED,103,https://masslife.com.ng/,"I. T. F. House (4th Floor), No. 6, Adetokunbo Ademola Crescent, Wuse 2, Abuja",info@masslifehealthcare.com,"234(0)92918962, 234(0)9039887632",FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
42,MB & O HEALTHCARE SERVICES LIMITED,110,https://mbandohmo.com/,"30, Bassie Ogamba Street, Off Adeniran Ogunsanya Street, Surulere, Lagos",info@mbandohmo.com,O8139952126,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
43,MEDEXIA LIMITED,44,https://medexia.com/,"221, IKORODU ROAD, ILUPEJU LAGOS.",okuribido@medexia.com,"O8134224609, O9051991430, O14537588",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
44,MEDICARE ALLIANCE LIMITED,71,https://www.farepharm.com/hmo/143,"SUITE 9-13, 2ND FLOOR, ADAMU FURA HOUSE",domahealthcare@gmail.com,O7065645662 O8063545370,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
45,MEDIPLAN HEALTHCARE LIMITED,5,https://mediplanhealthcare.com/,"CAPITAL BUILDING, 332, IKORODU ROAD, IDI-IROKO BUS STOP, MAR",mediplan@mediplanhealthcare.com,"08159093838, 07084068760, 01-4485390, 07066401413, 09036058822",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
46,METROHEALTH HMO LIMITED,77,https://www.metrohealthhmo.com/,"26, CATHOLIC MISSION STREET","info@metrohealthhmo.com, nogbodu@metrohealthhmo.com","O8090235478, O1-6310038",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
47,NEM HEALTH LIMITED,116,https://nem-health.com/,"New House, 199 Ikorodu Road, Obanikoro, Lagos",info@nem-health.com,O20-13300150,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
48,NNPC-HMO LIMITED,86,https://nnpcgroup.com/contact,NNPC PENSION FUND COMPLEX,nnpchmo@nnpcgroup.com,"08022200180 08097777689 08058866690 08036950614 O9-460-85500, O803-695-0614, O809-777-7689",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
49,NONSUCH MEDICARE LIMITED,51,https://www.nonsuchhmo.com/,"PLOT 1, ABIMBOLA ESTATE LAFIA HOSPITAL COMPLEX, APATA-IBADAN",nonsuchmedicare@gmail.com,"O8078392043, O8078391607, O8097541194",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
50,NOOR HEALTH LTD.,114,,"? 168, Awolowo Road, Ikoyi, Lagos State. ? 170, Gbagada Express Way, Lagos State",info@noorhealth.ng,O9048485050,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
51,NOVO HEALTH AFRICA LIMITED,74,https://www.novohealthafrica.org/,"PLOT 10A AKIOGUN ROAD, ONIRU LEKKI LAGOS STATE",info@novohealthafrica.org,"O9092139552, O7037602736, O9082914217",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
52,OCEANIC HEALTH MANAGEMENT LIMITED,39,https://www.oceanichealth.com/,"PLOT 226, AWOLOWO ROAD IKOYI, LAGOS / NEXIM HOUSE CBD, ABUJA",hmo@oceanichealthng.com,"O16330300, O12806399,O8085897999",FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
53,PERAMARE HEALTH MANAGEMENT COMPANY LIMITED,105,https://peramarehmo.ng/,"Hall 1, 6th Floor, Tsukunde House, Opposite World Trade Centre, CBD, Abuja",hmo@peramare.ng,O9128007005,FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
54,PHILLIPS HEALTH MANAGEMENT SERVICES LIMITED,88,https://phillipshmo.net/,"70B LANRE AWOLOKUN STREET, GBAGADA PHASE 2 GBAGADA KOSOFE, LAGOS.",info@philipshmo.net,016339122-3,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
55,POLICE HEALTH MAINTENANCE LIMITED,73,https://www.phmlnigeria.com/,"517, SYLVESTER UGOR CRESCENT,",info@phlnigeria.com,"O8132529114, O8174210057, O90552293969",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
56,PRECIOUS HEALTHCARE LIMITED,36,https://precioushmo.com/,"8 LUNGI STREET, OFF CAIRO STREET WUSE 2,",info@precioushmo.com,O8067456841,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
57,PREPAID MEDICARE SERVICES LTD.,30,https://prepaidmedicareng.com/,9A GANGES STREET OFF ALVAN IKOKU WAY,hr@prepaidmedicareng.com,"O8085927262, O8091116207, O8035777338, O8076688032",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
58,PRINCETON HEALTH,17,http://info@princetonhmo.net,"26 MOGAJI ARE ROAD, OPPOSITE VITAS BAKERY, RING ROAD",info@princetonhmo.net,"O8151205555, O81859555555, O9060005654, O9060005674, O7064489783",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
59,PROHEALTH HMO LTD,57,https://prohealthhmo.com/,"BASSAN PLAZA, BLOCK D, FIRST FLOOR, PLOT 759 INDEPENDENCE AV",info@prohealthhmo.com,O70776432584,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
60,REDCARE HEALTH SERVICES LIMITED,65,https://redcarehmo.com/contact-us/,"22 COKER ROAD, OPPOSITE MAMACASS",info@redcarehmo.com,"012772020, 07700REDCARE",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
61,REGENIX HEALTH CARE SERVICE LIMITED,64,https://regenixhealthcare.com/,"KIENI PLAZA, KLM 13MELFORD OKILO ROAD",info@regenixhealthcare.com admin@regenixhealthcare.com regehmoservices@gmail.com,"08148220185, 08029377719",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
62,RELIANCE HMO LIMITED,92,https://getreliancehealth.com/nigeria/,"32 LANRE AWOLOKUN STREET GBAGADA PHASE 2, KOSOFE, LAGOS",hello@reliancehmo.com,"O70073542623, O17001580",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
63,RODING HEALTHCARE LTD.,93,https://fountainhealthcareng.com/office/,"NO. 4 MAKOLO ROAD, ADEKUNLE YABA, LAGOS","rodinghealthcare@gmail.com, info@rodingheatlhcareltd.com",O70 CALL RODING (O7002255763464),Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
64,RONSBERGER NIGERIA LTD.,10,https://ronsbergerhmo.com/,"1, MAMBOLO STREET, WUSE ZONE 2, ABUJA.",info@ronsbergerhmo.org,"O8021811800 , O92902975, O8103247680, O92903430",FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
65,ROTHAUGE HEALTHCARE LIMITED,101,https://rothaugehealth.com/,"16, BABATUNDE STREET, OFF OGUNLANA DRIVE, SURULERE, SURULERE LGA, LAGOS, Nigeria","info@rothaugehealth.com, directors@rothaugehealth.com","07060910825, 09080000134, 08159996670",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
66,ROYAL HEALTH MAINTENANCE SERVICES LTD.,26,http://www.royalhealthms.com/,PLOT 271 IKENEGBU LAYOUT (FLORIDA BOOKSHOP BUILDING) OWERRI,royalhealthmaintenanceservices@yahoo.com,O8037956689,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
67,SALUS TRUST GTE,54,https://salustrustng.com/,"7 FORCE ROAD, LAGOS ISLAND.",salustrustgte@yahoo.com,"O8052272587, O1-3428992",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
68,SERAPH HMO LIMITED,107,https://seraphhmo.com/,"Kilometer 7, Gboko Road, Makurdi, Benue State",seraphnigltd@yahoo.com,O8061136674,Benue,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
69,SKYDA HEALTH LIMITED,104,https://www.skydalink.com/,"8A, Panama Street, off IBB Way Maitama, Abuja",skydahealthng@gmail.com,08037013715,FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
70,SONGHAI HEALTH TRUST,13,https://www.songhaihealthtrust.com/,"TSUKUNDA HOUSE SUITE B11, AND B12, PLOT 1446, CONSTITUTION A",info@songhaihealthtrust.com,O7000303030,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
71,SPRINGTIDE HEALTHCARE SERVICES LTD.,106,https://springtidehmo.com/,"Iriebe Street, D''line Port Harcourt, Rivers State",info@sprintidehmo.com,O8183099999,Rivers,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
72,STERLING HEALTH MANAGED CARE SERVICES LIMITED,34,http://www.sterlinghealthmcs.com/,"VALLEY VIEW PLAZA, 99 OPEBI ROAD",info@sterlinghealth-mcs.com,"O7009110911, O7014184367",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
73,SUNU HEALTH NIGERIA LIMITED,16,http://nigeria.health@sunugroup.com.,NO. 16 OBOKUN ST. ILUPEJU,"nigeria.health@sunu-group.com , info@mhshmo.com","070010008000, 08003425647",Niger,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
74,SYNERGY WELLCARE MEDICAID LIMITED,91,https://synergywellcare.com/,"NO. 13 PRECISION SCHOOL ROAD, ODANI ELELENWO, PORT HARCOURT, OBIAKPO RIVERS STATE.","synergywellcare@gmail.com, info@synergywellcare.com","O8099992825, O8098862873, O9081777726,O9081888837",Rivers,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
75,TOTAL HEALTH TRUST LIMITED,2,https://www.libertyhealth.net/nigeria/en/,"2, MARCONI ROAD, PALMGROOVE ESTATE, ILUPEJU",thtabuja@totalhealthtrust.com,O7080687600 O14482105,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
76,ULTIMATE HEALTH MANAGEMENT SERVICES LTD,61,https://ultimatehealthhmo.com/,"TSUKUNDA HOUSE, 4TH FLOOR, RIGHT WING, PLOT 1446.CONSTITUTIO",info@ultimatehealthhmo.com,"O70085846283, O8179948153",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
77,UNITED COMPREHENSIVE HEALTH MANAGERS LTD.,23,https://www.uchm.net/,PLOT C-1 RUMUOGBA RESIDENTIAL ESTATE,info@uchm.net unichm2013@gmail.com,"O8158393328, O7033683712",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
78,UNITED HEALTHCARE INTERNATIONAL LIMITED,7,https://unitedhealthcare-ng.com/,"UHI HOUSE, 7 JABA CLOSE OFF DUNUKOFIA ST, OPPOSITE FCDA MINI",info@unitedhealthcare-ng.com contact@unitedhealthcare_ng.com,O7088485894 O8164582835 O94611600,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
79,VENUS MEDICARE LTD,21,https://www.venusmedicare.com/,"PLOT 472, CADASTRAL ZONE A8, FORMER CHICKEN HOUSE. OPP. ASCO",info@venusmedicare.com,"O70033330000, O7046090877, O7046090878",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
80,VERITAS HEALTHCARE LIMITED,24,https://veritashealthcareltd.com/,"3RD FLOOR, UNITY KAPITAL BUILDING, PLOT 497, ABOGO LARGEMA S",info@vhcl.com.ng,07067880493 08137895669 08137967923 08082560543,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
81,WELL HEALTH NETWORK LIMITED,67,https://wellhealthnetwork.com/,"15 IBUSA AVENUE, INDEPENDENT LAYOUT",info@wellhealthnetwork.com,O8086250004,,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
82,WELLNESS HEALTH MANAGEMENT SERVICES LIMITED,41,https://www.wellnesshealthcare.com.ng/,"9, JOGUNOLA STREET, GBAGADA PHASE II, GBAGADA,",callcenter@wellnesshmo.com info@wellnesshmo.com,"O70093556377, O8098726196, O8184742564",Ogun,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
83,ZUMA HEALTH TRUST,28,https://zumahealthtrust.ng/,"PLOT 856, OLU AWOTESU STREET, OFF IDRISS IBRAHIM CRESCENT, (",zumahmo28@gmail.com,"O7062236824, O9055958534, 08094872221,",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
