serial_no,organization_name,state,director,phone,email,website,address,source_url,extracted_at
11,Ebonyi State Health Insurance Agency (EBSHIA),EBONYI,Dr Archi Chinweoke doris,08069391870,archichinweoke@gmail.co,https://www.ebshia.eb.gov.ng/,"3rd Floor, Block 5, New Secretariat Complex, Commentary City, Abakaliki, Ebonyi State.",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
12,Edo State Health Insurance Scheme (EDHIC),EDO,Dr. Amejor Rock,08033812393,amegorrock@gmail.com,https://edhic.org/,"2nd Floor Specialist Hospital, Sapele Road, Benin-City, Edo State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
13,Ekiti State Health Insurance Scheme (EKHIS),EKITI,Dr Joshua Ideke,08062267648,Joeileke2004@gmail .com,https://www.ekitistate.gov.ng/archives/20961,"Data Bank Complex, Ministry Of Health, Ado-Ekiti, Ekiti State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
14,Enugu State Universal Health Coverage Scheme (ESUHCS),ENUGU,Dr Edith Okolo,07064492317,edithokolo@gmail.com,https://www.esauhc.org/about.html,"No. 1 Colliery Avenue, GRA, Enugu State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
15,FCT Health Insurance Scheme (FHIS),FCT,Dr Ahmed Dafulani,08033022566,danfulani@yahoo.com,https://fhis.abj.gov.ng/,"Capital Street Block A, Area Ii, Garki, FCT, Abuja",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
16,Gombe State Contributory Healthcare Management Agency,GOMBE,Abubakar Y. Musa,08036311889,abubakarymusa@gmail.com,https://gmchma.gm.gov.ng/,"State Secretariat Complex, Gombe",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
17,Imo State Health Insurance Agency (IMSHIA),IMO,Dr. John Onyeokoro,08057763680,Jonyeokoro2014@gmail.com,https://imshiaonline.com/,"Quinters Youth Avenue, Opp. Civic Centre, Off Concord Road, Imo State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
18,Jigawa state contributory Healthcare Management Agency,JIGAWA,Dr. Nura Ibrahim,08033611311,Nuraibrahim68@gmail.com,https://jichma.jg.gov.ng/,"State Secretariat Complex, Dutse, Jigawa",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
19,Kaduna State Contributory Health Management Agency. (KADCHMA),KADUNA,Aliyu Saidu,08089514133,aliel_one@yahoo.com,https://kadchma.kdsg.gov.ng/,"No. 18 Independence Way, Opp. State Secretariat, Kaduna",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
20,KTSCHMA,KATSINA,Mohammad Safena,07088154511,Mtsafana001@yahoo.com,https://ktschma.agency/,"Ministry Of Health, Katsina,",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
21,Kano State Contributory Healthcare Management Agency (KSCHMA),KANO,Dr Halima Miginyawa,08028483435,halimamijinyawa@yahoo.com,https://kschma.kn.gov.ng/,"No. 27a, Sokoto Road, Kano",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
22,Kebbi State Contributory Healthcare Management Agency (KECHEMA),KEBBI,Dr. Jafar A. Mohammed,08035978511,augi66@yahoo.com,https://kechema.gov.ng/,"Gwadangaji Secretariat Complex, Birnin-Kebbi, Kebbi",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
23,Kwara State Health Insurance Agency (KWARAHIA),KWARA,Dr Olubunmi Jetawo Winter,08089514133,o.jetawo-winter@hia.kw.gov.ng,https://kwaracare.com.ng/,"House 10B Ahmadu Bello, Ilorin,",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
24,Kogi State Health Insurance Agency (KGSHIA),KOGI,Dr. Aledare Kunle,08068873554,kunlealeds@yahoo.com,https://kgshia.ng/,"State Secretariat Complex, Kogi State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
25,LASHMA,LAGOS,Dr. Peju Adenusi,08087182430,pejunusi@yahoo.com,,"17 Kafi Street, Oregun Lagos, Alausa Ikeja",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
26,NASHIA,NASARAWA,Dr Gwamna S D,08036073739,gazag2002@yahoo.co.uk,,"Beside Nasema, Former Lafia Hotel, Shendam Road Lafia",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
27,NGSCHA,NIGER,Dr. mohammed B. Usman,07068611115,Usmanhd2018@gmail.com,,"The Old Secretariat Block A, First Floor, Minna, Niger State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
28,OGSHIA,OGUN,DosunmU Afolabi Dr.,08033424804,foleydosunmu@yahoo.co.uk,,"Block D, Room 166, New Secretariat, Governor’s Office, Oke-Mosan, Abeokuta",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
29,ODCHC,ONDO,Dr. A Oyeneyin,08033040156,a.oyeneyin@odchc.on.gov.ng,,"State Secretariat Complex, Alagbaka, Akure, Ondo",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
30,OHIS,OSUN,Dr Niyi Oginni,08033841224,Adeniyioginni02@gmail.com,https://oshia.ng/,"HSDP Building Behind Osamdo House, Gbongan/Ibadan Road,Osogbo, Osun State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
31,OYSHIA,OYO,Sola Akande,08034090602,ireeo@yahoo.co.uk,https://oyshia.oy.gov.ng/,"Oyo State Health Insurance Agency Secretariat, Oyo State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
32,PLASCHEMA,PLATEAU,Dr. Fabong Jemchong,08094862423,jfabong@gmail.com,https://plaschema.pl.gov.ng/,"State Secretarial Complex, Jos",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
33,RIVCHPP/RSMOH,RIVERS,Dr. Vetty Agala,08033421682,rolavet@yahoo.com,,"State Secretariat Complex, Port Harcourt, River State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
34,TSSHIA,TARABA,Dr Musa H Ambinkanme,08027701403,ambinkanme@yahoo.com,,"State Secretariat Complex, Jalingo, Taraba State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
35,YOSCHIMA,YOBE,Dr. Babagana Tijani,08063737302,drbabagana@yahoo.com,,"State Secretariat Complex, Damaturu, Yobe State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
36,SKHIS,SOKOTO,Aminu Umar,07030234839,aminuumar007@gmail.com,,"Block 13 Ground Floor, Shehu Kamgiwa Secretariat Sokoto,",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
37,ZAMCHEMA,ZAMFARA,Dr. Abubakar Yusufu,07039605038,Bokanturai29@yahoo.com,,"State Secretariat Complex, Gusau, Zamfara",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
