serial_no,pharmacy_name,state,lga,address,phone,email,latitude,longitude,verification_status,source_url,extracted_at
63,Alpha Pharmacyu - Ogui Road Enugu,Enugu,,"32 Edinburgh Road (By College Road), Ogui New Layout, Enugu.","CALL CENTRE: 01-2704374 TEL.: 08098346916, 09062440942",,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
64,Onehealth Pharmacy - Enugu,Enugu,,"Block 6, Suite 3, Elegushi Modern Plaza, Phase 2, Lekki-Epe, Expressway Lekki, Lagos","09070677609, 08188762448",,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
65,Sarash Pharmacy - Gombe,Gombe,,"Federal Low Cost Gombe, Adjacent Old Nimc Office Gombe",08036637634;,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
66,Right Care Pharmacy-World Bank,Imo,,"13 Sam Mbakwe Avenue, World Bank Road, Owerri",08034003849,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
67,Lifecare Pharmacy,Kogi,,"Shop 19A, Opposite Federal Medical Centre",08035362580,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
68,Salva Praise Pharmacy,Kogi,,"No. 003, Ganaja Junction, Ganaja-Ajaokuta Road",+234 8065523755,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
69,Mountplus Pharmacy,Kwara,,"Opposite Cac Alabukun, Beside Conoil Petrol Station, After Offa Garage, Ilorin-Ajaise Ipo Road","08138439861,09070687143",,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
70,Pagiel Pharmacy,Niger,,"Suite 7 Nnaiye Memorial Plaza, Dutsen Kura Gwari","08033047179, 08037590874",,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
71,Exc Pharmacy-Ogun State,Ogun,,"7 Channels Tv Opic Estate Isheri Oke, Ogun State",0917660495,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
72,Onehealth Pharmacy - Ogun,Lagos,,"Block 6, Suite 3, Elegushi Modern Plaza, Phase 2, Lekki-Epe, Expressway Lekki, Lagos","09070677609, 08188762448",,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
73,Onehealth Pharmacy - Oyo,Lagos,,"Block 6, Suite 3, Elegushi Modern Plaza, Phase 2, Lekki-Epe, Expressway Lekki, Lagos","09070677609, 08188762448",,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
74,Elyon Pharmacy,Plateau,,"12 Cbn Road, Opposite Plateau State House Of Assembly",08035951168,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
75,Last Mile Pharmacy,Sokoto,,Eastern Bye Pass After Naf Base,08036185885,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
76,Sir Qasim Pharmacy,Kaduna,,No 19 Kaduna Road Opposite State House Of Assembly,08036316081,,,,seed,https://getreliancehealth.com/alafia/providers/,2026-04-23T08:51:41.746Z
